 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2007    8   92 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2007    9   93  974.83    1.52    0.45   78.0    3.40    4.28    84.8    48.1   -22.7    97.7    93.6    38.4    37.1    0.408  277.4  312.3    0.928   65.6416873   38.8980146  182.4 -999
 2007   10   94  964.30   -1.62   -2.72   79.4    2.87    4.62    80.9    35.4   -12.6    41.7    44.9    29.5    27.2 -999.000  266.4  299.1    0.864   65.6416759   38.8975821  243.6 -999
 2007   11   95 -999.00   -3.88   -5.03   80.5 -999.00    6.29    89.0  -999.0  -999.0     9.0    10.0     8.3     6.7 -999.000  263.3  288.3    0.625 -999.0000000 -999.0000000 -999.0 -999
 2007   12   96 -999.00   -6.22   -7.36   81.6 -999.00    6.27   109.1  -999.0  -999.0     1.7     1.6     2.4     1.2 -999.000  250.0  277.5 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2008    1   97 -999.00   -8.89  -10.10   77.7 -999.00    7.28    93.2  -999.0  -999.0     5.8     5.7     6.0     4.6 -999.000  232.2  265.1 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2008    2   98 -999.00  -11.57  -12.66   81.1 -999.00    5.70    84.8  -999.0  -999.0    31.5    30.9    29.8    26.9 -999.000  221.3  255.9 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2008    3   99 -999.00   -7.81   -8.59   81.5 -999.00    3.73    88.7  -999.0  -999.0    97.2    94.8    88.7    84.9 -999.000  249.7  273.5 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2008    4  100 -999.00   -2.62   -3.10   78.8 -999.00    3.45    84.6  -999.0  -999.0   190.3   182.7   150.4   147.6    0.821  261.7  296.3 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2008    5  101 -999.00    0.31    0.16   84.7 -999.00    2.24   103.3  -999.0  -999.0   227.7   225.8   172.0   172.0    0.776  289.6  312.3 -999.000   65.6415955   38.8981264  244.0 -999
 2008    6  102 -999.00    3.83    3.54   74.2 -999.00    3.13    76.4  -999.0  -999.0   320.2   319.8   212.6   211.6    0.672  269.9  317.9    0.590   65.6415743   38.8978161  185.4 -999
 2008    7  103 -999.00    4.41    3.57   81.2 -999.00    3.59    70.7  -999.0  -999.0   236.8   238.0    66.0    65.8    0.273  296.0  319.9    1.680   65.6415592   38.8979821  224.0 -999
 2008    8  104 -999.00    4.08    3.20   78.9 -999.00    3.34    68.5  -999.0  -999.0   218.7   210.5    55.0    54.1    0.252  280.1  318.9    2.338   65.6415216   38.8981667  168.6 -999
 2008    9  105 -999.00    2.16    1.17   80.3 -999.00    1.90  -999.0  -999.0  -999.0    44.8    53.8    23.9    22.7 -999.000  310.9  306.6    2.601   65.6414916   38.8980966  181.8 -999
 2008   10  106 -999.00   -3.15   -4.24   82.3 -999.00    0.13  -999.0  -999.0  -999.0     2.9     8.7     6.1     7.2 -999.000  299.3  291.8    2.425 -999.0000000 -999.0000000 -999.0 -999
 2008   11  107 -999.00   -6.28   -7.13   98.0 -999.00    0.07  -999.0  -999.0  -999.0     0.2  -999.0    -0.2  -999.0 -999.000 -999.0 -999.0 -999.000   65.6414667   38.8981667  270.0 -999
 2008   12  108 -999.00   -5.68   -6.52   99.7 -999.00    0.00  -999.0  -999.0  -999.0     0.0  -999.0    -0.2  -999.0 -999.000 -999.0 -999.0 -999.000   65.6414667   38.8981667  270.0 -999
 2009    1  109 -999.00   -5.00   -5.84   99.7 -999.00    0.00  -999.0  -999.0  -999.0    -0.0  -999.0    -0.0  -999.0 -999.000 -999.0 -999.0 -999.000   65.6414667   38.8981667  270.0 -999
 2009    2  110 -999.00   -4.57   -5.41   99.8 -999.00    0.00  -999.0  -999.0  -999.0    -0.0  -999.0    -0.0  -999.0 -999.000 -999.0 -999.0 -999.000   65.6414667   38.8981667  270.0 -999
 2009    3  111 -999.00   -4.52   -5.35   99.8 -999.00    0.00  -999.0  -999.0  -999.0    -0.0  -999.0    -0.0  -999.0 -999.000 -999.0 -999.0 -999.000   65.6414667   38.8981667  270.0 -999
 2009    4  112 -999.00   -2.60   -3.43   99.8 -999.00    0.00  -999.0  -999.0  -999.0    -0.2  -999.0     0.1  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2009    5  113  975.68    0.49    0.20   79.1 -999.00    0.00  -999.0  -999.0  -999.0   232.1  -999.0   168.3  -999.0 -999.000 -999.0 -999.0    2.466   65.6414322   38.8981588  270.3  100
 2009    6  114  985.48    1.67    1.55   82.6 -999.00    0.00  -999.0  -999.0  -999.0   299.4  -999.0   184.8  -999.0 -999.000 -999.0 -999.0 -999.000   65.6414106   38.8981637  270.0  100
 2009    7  115  984.58    3.39    2.83   82.9 -999.00    0.00  -999.0  -999.0  -999.0   254.0  -999.0    95.4  -999.0 -999.000 -999.0 -999.0    2.492   65.6413846   38.8981996  269.5  100
 2009    8  116  978.08    2.30    1.66   84.9 -999.00    0.00  -999.0  -999.0  -999.0   211.2  -999.0    54.6  -999.0 -999.000 -999.0 -999.0    2.340   65.6413587   38.8982125  269.2  100
 2009    9  117  969.27   -0.33   -1.12   79.5 -999.00    0.00  -999.0  -999.0  -999.0   126.5  -999.0    44.0  -999.0 -999.000 -999.0 -999.0    2.126   65.6413423   38.8982167  267.6  100
