 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2008    3   99 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2008    4  100  950.77   -3.95   -4.21   78.1    2.41    4.54  355.1   22.3  -10.4  195.0  184.8  151.9  136.3    0.763  256.7  291.5    1.644 -999.0000000 -999.0000000 -999.0 -999
 2008    5  101  950.17   -0.44   -0.41   83.2    3.26    2.99   14.7 -999.0 -999.0  239.0  233.2  185.8  178.1    0.770  287.6  309.4    1.856 -999.0000000 -999.0000000 -999.0 -999
 2008    6  102  949.82    3.03    2.89   73.9    3.65    4.00  346.7   39.5  -11.3  337.2  331.9  195.5  185.8    0.583  261.3  316.5    2.484   65.7011618   38.8659835  480.6 -999
 2008    7  103  945.43    3.49    3.04   80.3    4.14    3.89  339.3   34.0   -1.6  254.9  253.8   95.6   92.1    0.370  287.3  318.7    2.695 -999.0000000 -999.0000000 -999.0 -999
 2008    8  104  939.73    3.14    2.62   78.4    3.98    3.57  332.5   27.5   -5.9  216.2  218.0   77.6   72.1    0.336  271.4  317.6    2.684   65.7010498   38.8652611  431.5 -999
 2008    9  105  933.16    0.51   -0.29   83.3    3.59    2.15 -999.0   16.6    3.1   72.7   91.2   31.8   28.7 -999.000  304.3  300.2    2.517   65.7009948   38.8659911  476.5 -999
 2008   10  106  932.60   -5.52   -6.36   95.5    2.58    0.07 -999.0 -999.0 -999.0   10.0   39.1   16.6   14.7 -999.000  286.7  272.8 -999.000   65.7009443   38.8654077  530.3 -999
 2008   11  107  937.98   -6.86   -7.82   99.9    2.37    0.02 -999.0 -999.0 -999.0    1.1    1.7    1.8    0.8 -999.000  283.9  279.0 -999.000   65.7009333   38.8660000  565.3 -999
 2008   12  108  926.84   -7.41   -8.33  100.0    2.22    0.06 -999.0 -999.0 -999.0    0.0    0.1    0.2    0.1 -999.000  280.9  279.1 -999.000   65.7009333   38.8660000  565.3 -999
 2009    1  109  924.61   -5.99   -6.88  100.0    2.49    0.00 -999.0 -999.0 -999.0    0.2    0.0   -0.3    0.0 -999.000  286.2  285.9 -999.000   65.7009333   38.8660000  565.3 -999
 2009    2  110 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2009    3  111 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2009    4  112 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2009    5  113  939.92   -0.70   -1.25   77.0    2.96    0.00 -999.0    0.0    0.0  274.3  277.4  206.7  206.0    0.753  264.5  305.4    1.895   65.7006612   38.8661547  572.7  100
 2009    6  114  949.46    1.31    0.82   80.0    3.51    0.00 -999.0    0.0    0.0  324.2  321.3  208.6  207.3    0.660  268.0  311.6    2.397   65.7006186   38.8661725  573.4  100
 2009    7  115  949.11    2.86    2.25   82.1    4.04    0.00 -999.0    0.0    0.0  260.7  257.8  116.1  115.5    0.466  290.4  315.5    2.653   65.7005685   38.8661796  571.4  100
 2009    8  116  942.55    2.00    1.32   82.9    3.88    0.00 -999.0    0.0    0.0  188.4  191.5   77.9   77.0    0.403  281.4  313.8    2.632   65.7005262   38.8661965  569.9  100
 2009    9  117  933.36   -1.59   -2.39   79.0    2.96    0.00 -999.0    0.0    0.0  100.0  106.9   60.6   60.8 -999.000  256.4  299.7    2.597   65.7004871   38.8662065  567.3  100
 2009   10  118  940.95   -6.07   -6.96   76.5    2.05    0.00 -999.0    0.0    0.0   42.2   48.5   36.7   36.5 -999.000  245.8  279.8    2.395   65.7004630   38.8662218  560.2  100
 2009   11  119  932.29   -7.69   -8.63   80.8    1.88    0.00 -999.0    0.0    0.0    7.7   10.6    8.2    8.1 -999.000  248.2  272.0    2.165   65.7004630   38.8662218  560.2  100
 2009   12  120  944.17   -6.94   -7.88   73.1    1.93    0.00 -999.0    0.0    0.0    1.1    1.5    2.6    1.1 -999.000  237.7  273.8    2.103   65.7004630   38.8662218  560.2  100
 2010    1  121  934.95   -4.36   -5.26   79.0    2.35    0.00 -999.0    0.0    0.0    4.2    4.6    6.0    3.7 -999.000  252.3  285.1    1.701   65.7004630   38.8662218  560.2  100
 2010    2  122  947.97   -9.53  -10.44   79.0    1.81    0.00 -999.0    0.0    0.0   29.4   36.9   32.2   30.2 -999.000  226.5  264.5    1.240   65.7004630   38.8662218  560.2  100
 2010    3  123  940.77   -8.84   -9.64   85.7    1.82    0.00 -999.0    0.0    0.0   85.7  102.0   84.3   84.6 -999.000  244.9  269.6    0.991   65.7004630   38.8662218  560.2  100
 2010    4  124  944.50   -6.86   -7.51   75.3    1.76    0.00 -999.0    0.0    0.0  195.8  212.3  174.8  175.0    0.828  225.2  275.9    1.037   65.7004630   38.8662218  560.2  100
 2010    5  125  950.37    0.32   -0.17   75.3    3.07    0.00 -999.0    0.0    0.0  290.6  301.7  221.5  220.9    0.740  252.9  306.6    1.354   65.7004630   38.8662218  560.2  100
 2010    6  126  946.32    2.81    2.24   78.7    3.86    0.00 -999.0    0.0    0.0  271.1  274.3  170.2  169.8    0.630  284.2  315.9    2.122   65.7004630   38.8662218  560.2  100
 2010    7  127  942.33    2.88    2.26   81.1    4.02    0.00 -999.0    0.0    0.0  294.4  294.5  131.9  131.2    0.449  277.9  315.3    2.571   65.7004630   38.8662218  560.2  100
 2010    8  128  946.31    2.99    2.18   83.9    4.16    1.99   26.3   12.1    2.1  181.9  182.1   75.9   75.7    0.417  292.9  316.6    2.601 -999.0000000 -999.0000000 -999.0  100
 2010    9  129  940.25    2.15    1.19   86.8    4.11    3.55   32.9   27.8    5.8   65.3   66.5   36.0   35.7    0.516  308.3  315.4    2.514 -999.0000000 -999.0000000 -999.0  100
 2010   10  130  939.88   -2.55   -3.61   82.7    2.86    3.66   17.1   19.7   -3.3   35.6   37.7   22.4   17.9 -999.000  274.6  296.1    2.450 -999.0000000 -999.0000000 -999.0  100
 2010   11  131  946.22   -7.45   -8.61   74.5    1.68    4.21    4.9   27.5   -4.8   10.9   13.1    8.7    6.3 -999.000  238.4  269.9    2.474 -999.0000000 -999.0000000 -999.0  100
 2010   12  132  949.57   -7.62   -8.75   91.8    2.03    1.00 -999.0 -999.0 -999.0    3.7    0.8    0.5    0.4 -999.000  278.5  275.8 -999.000 -999.0000000 -999.0000000 -999.0   77
 2011    1  133  937.89  -11.59  -12.73  100.0    1.59    0.00 -999.0 -999.0 -999.0    0.4 -999.0   -0.4 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0    6
 2011    2  134  919.11   -9.03  -10.14  100.0    2.00    0.00 -999.0 -999.0 -999.0    0.2 -999.0   -0.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0    7
 2011    3  135  931.02  -14.64  -15.63  100.0    1.37    0.00 -999.0 -999.0 -999.0    5.7   13.5    6.8    8.5 -999.000  253.3 -999.0 -999.000 -999.0000000 -999.0000000 -999.0    3
 2011    4  136  920.23   -5.18   -6.25  100.0    2.77    0.00 -999.0 -999.0 -999.0    2.8 -999.0    3.6 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0   13
 2011    5  137  946.46   -2.18   -3.01   99.7    3.42    0.00 -999.0 -999.0 -999.0    1.6 -999.0    2.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0   74
 2011    6  138  952.65    0.29   -0.17   90.1    3.67    0.04 -999.0 -999.0 -999.0   23.0  103.7   85.9   99.5 -999.000  315.6  302.8    0.825 -999.0000000 -999.0000000 -999.0   96
 2011    7  139  946.57    2.14    1.54   88.4    4.15    0.92 -999.0    7.4    3.1   87.1  112.7   81.3   79.3    0.754  313.1  311.3    1.499 -999.0000000 -999.0000000 -999.0  100
 2011    8  140  948.51    1.98    1.08   82.8    3.84    2.37  327.3   12.7   -1.1  209.5  199.7  109.0  106.6    0.542  282.3  314.8    2.421 -999.0000000 -999.0000000 -999.0  100
