 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2010    8  128 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2010    9  129 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2010   10  130 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2010   11  131 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2010   12  132 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2011    1  133 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2011    2  134 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0   54
 2011    3  135  936.76  -23.18  -23.49   77.0    0.42    7.72    77.2    23.3    -3.5    59.0    58.3    44.0    43.4 -999.000  164.9  214.1    2.171 -999.0000000 -999.0000000 -999.0  100
 2011    4  136 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2011    5  137 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2011    6  138 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2011    7  139  943.43    4.01    3.88   73.9    3.92    7.09    65.8    56.3    -2.3   292.8   295.4   121.4   120.4    0.402  281.7  322.3    2.622 -999.0000000 -999.0000000 -999.0  100
 2011    8  140  948.01    2.18    1.99   80.2    3.78    5.11    59.6    31.5    -4.6   160.8   155.3    63.1    62.3    0.407  287.4  318.0    2.645 -999.0000000 -999.0000000 -999.0  100
 2011    9  141  933.55   -5.25   -5.51   82.8    2.21    6.77    75.0    15.7   -10.3    78.7    78.2    61.3    61.1 -999.000  251.9  285.4    2.505 -999.0000000 -999.0000000 -999.0  100
 2011   10  142  936.87  -12.38  -12.75   90.0    1.36    7.45    67.7    15.0    -3.0    12.1    13.2    10.9    10.6 -999.000  229.7  257.0    2.120 -999.0000000 -999.0000000 -999.0  100
 2011   11  143  932.47  -15.04  -15.43   85.6    1.08    4.98    64.1    20.3    -3.2    -1.4     0.1     0.3     0.1 -999.000  221.2  245.2    1.543 -999.0000000 -999.0000000 -999.0  100
 2011   12  144  928.22  -21.89  -22.25   85.0    0.52    5.37    60.6    28.9    -0.9    -2.1     0.0     0.2     0.0 -999.000  180.4  218.3    1.314 -999.0000000 -999.0000000 -999.0  100
 2012    1  145  931.53  -23.64  -24.03   82.5    0.42    6.53    61.6    27.8    -0.9    -2.0     0.0     0.2     0.0 -999.000  175.6  210.8    1.331 -999.0000000 -999.0000000 -999.0  100
 2012    2  146  932.52  -24.33  -24.68   87.0    0.48    7.04    66.5    24.0    -1.1     5.5     4.3     4.2     4.0 -999.000  177.5  210.9    1.338 -999.0000000 -999.0000000 -999.0  100
 2012    3  147  934.75  -27.09  -28.01   86.3    0.35    6.03    59.4    22.0    -1.7    53.7    40.1    38.0    37.9 -999.000  163.1  199.9    1.341 -999.0000000 -999.0000000 -999.0  100
 2012    4  148 -999.00  -14.72 -999.00 -999.0 -999.00    4.91  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2012    5  149 -999.00   -6.30 -999.00 -999.0 -999.00    5.65  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2012    6  150 -999.00    1.17 -999.00 -999.0 -999.00    8.02  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2012    7  151 -999.00    3.58 -999.00 -999.0 -999.00    7.19  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2012    8  152 -999.00    1.19 -999.00 -999.0 -999.00    6.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2012    9  153 -999.00   -2.84 -999.00 -999.0 -999.00    7.66  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2012   10  154 -999.00   -8.16 -999.00 -999.0 -999.00    6.49  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2012   11  155 -999.00  -13.64 -999.00 -999.0 -999.00    6.13  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2012   12  156 -999.00  -18.05 -999.00 -999.0 -999.00    5.68  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2013    1  157 -999.00  -19.32 -999.00 -999.0 -999.00    6.41  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0   21
 2013    2  158 -999.00  -22.44 -999.00 -999.0 -999.00    6.16  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0   33
 2013    3  159 -999.00  -16.37 -999.00 -999.0 -999.00    7.29  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2013    4  160 -999.00  -15.70 -999.00 -999.0 -999.00    6.99  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2013    5  161 -999.00  -12.03 -999.00 -999.0 -999.00    4.77  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2013    6  162 -999.00   -1.06 -999.00 -999.0 -999.00    6.26  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2013    7  163 -999.00    1.34 -999.00 -999.0 -999.00    6.48  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2013    8  164 -999.00   -0.15 -999.00 -999.0 -999.00    7.11  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0   78
 2013    9  165  938.26   -5.55   -5.66   78.5    2.04    6.03    56.5    16.7   -12.6    74.6    63.2    59.2    59.1 -999.000  248.0  282.9    2.529 -999.0000000 -999.0000000 -999.0  100
 2013   10  166  941.67   -9.47   -9.66   82.5    1.58    5.79    52.3    18.6    -7.0    13.6    11.2    10.5    10.4 -999.000  240.6  266.6    2.494 -999.0000000 -999.0000000 -999.0  100
 2013   11  167  932.02  -18.76  -19.04   83.9    0.67    6.82    56.3    18.8    -2.9    -1.6     0.1     0.3     0.1 -999.000  198.9  231.3    2.452 -999.0000000 -999.0000000 -999.0  100
 2013   12  168  929.82  -21.40  -21.71   79.5    0.49    5.72    53.8    23.0    -1.8    -2.1     0.0     0.3     0.0 -999.000  183.4  218.9    2.454 -999.0000000 -999.0000000 -999.0  100
 2014    1  169  931.88  -17.05  -17.31   85.2    0.87    6.48    58.5    25.2    -4.3    -1.6     0.0     0.1     0.0 -999.000  206.9  238.2    2.421 -999.0000000 -999.0000000 -999.0  100
 2014    2  170  933.17  -19.73  -20.05   67.4    0.47    5.43    46.6    30.8    -3.5     3.9     4.5     3.9     3.5 -999.000  177.5  219.6    2.425 -999.0000000 -999.0000000 -999.0  100
 2014    3  171  933.98  -21.19  -21.44   75.3    0.49    5.38    48.6    23.6    -2.7    64.5    56.8    44.6    43.8 -999.000  178.2  218.8    2.423 -999.0000000 -999.0000000 -999.0  100
 2014    4  172  940.88  -17.14  -17.30   78.9    0.74    7.40    53.8     9.4    -9.2   174.2   166.6   130.4   129.7    0.779  193.2  239.1    2.422 -999.0000000 -999.0000000 -999.0  100
 2014    5  173  947.18   -9.33   -9.32   82.4    1.53    6.55    65.5    -4.5   -16.8   280.5   276.5   223.5   221.5    0.805  234.4  273.6    2.419 -999.0000000 -999.0000000 -999.0  100
 2014    6  174  944.40   -0.52   -0.38   83.3    3.20    6.97    61.2     3.6   -23.7   280.9   278.7   211.6   209.4    0.765  282.7  312.5    2.489 -999.0000000 -999.0000000 -999.0  100
 2014    7  175  944.57    2.50    2.60   83.4    4.01    6.67    55.5    35.4    -0.6   231.7   231.2    98.8    98.0    0.399  294.4  321.0    2.650 -999.0000000 -999.0000000 -999.0  100
 2014    8  176  943.00    0.31    0.36   82.4    3.39    9.37    67.1    33.6   -21.1   124.0   121.0    74.3    73.8    0.606  293.8  312.9    2.613 -999.0000000 -999.0000000 -999.0  100
 2014    9  177  935.19   -4.32   -4.22   78.8    2.25    5.93    58.4    22.0   -12.0    79.9    77.5    63.1    62.1 -999.000  249.2  287.1    2.638 -999.0000000 -999.0000000 -999.0  100
 2014   10  178  943.84   -9.98   -9.86   82.4    1.50    5.50    57.8    27.5    -4.1    12.1    14.6    11.7    11.5 -999.000  233.2  261.9    2.656   76.3998087   68.2660085  571.0  100
 2014   11  179  932.62  -14.53  -14.40   87.1    1.06    5.84    70.8    21.0    -0.4    -1.6     0.1     0.3     0.1 -999.000  221.2  244.9    2.623   76.3998106   68.2660331  570.0  100
 2014   12  180  932.09  -21.03  -20.88   83.3    0.53    7.42    66.5    33.8     0.5    -2.3     0.0     0.2     0.0 -999.000  176.3  218.4    2.624   76.3998121   68.2660267  567.6  100
 2015    1  181  928.37  -23.06  -22.93   87.3    0.51    7.62    70.2    25.3     0.5    -1.9     0.0     0.2     0.0 -999.000  176.9  213.3    2.626   76.3998152   68.2660446  571.3  100
 2015    2  182  932.29  -28.79  -28.63   80.5    0.24    6.06    62.1    29.8     0.0     4.8     4.9     3.9     3.6 -999.000  151.4  190.9    2.628   76.3998125   68.2660534  569.5  100
