 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2018    5  221 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2018    6  222  919.97   -1.78   -1.53   75.3    2.65    6.71   248.0    17.7   -32.1   359.4   356.9   287.9   282.3    0.798  252.4  302.3    2.662 -999.0000000 -999.0000000 -999.0  100
 2018    7  223  917.12   -0.94   -0.70   85.3    3.23    7.09   269.9     7.3   -18.1   283.9   278.2   232.0   225.0    0.818  279.2  309.2    2.471 -999.0000000 -999.0000000 -999.0   93
 2018    8  224  916.90   -0.42   -0.40   87.4    3.53    7.03   273.9    16.9    -5.7   170.6   170.6   132.1   128.2    0.761  281.4  308.9    2.291 -999.0000000 -999.0000000 -999.0   70
 2018    9  225  919.02   -7.65   -7.69   85.4    1.96    4.51   268.1    15.4    -4.4    80.6    79.7    67.8    67.5 -999.000  246.4  275.8    2.209 -999.0000000 -999.0000000 -999.0  100
 2018   10  226  916.76  -14.18  -14.30   80.9    1.07    4.70   263.8    20.5    -4.1    13.9    14.6    12.9    12.5 -999.000  228.3  248.0    2.063 -999.0000000 -999.0000000 -999.0  100
 2018   11  227  920.84  -19.59  -19.71   70.2    0.58    5.85   268.8    35.9    -3.7    -1.8     0.1     0.3     0.1 -999.000  190.4  222.5    1.980 -999.0000000 -999.0000000 -999.0  100
 2018   12  228  912.80  -22.44  -22.55   73.1    0.44    6.02   267.0    26.8    -4.7    -1.7     0.0     0.3     0.0 -999.000  187.9  216.5    1.903 -999.0000000 -999.0000000 -999.0  100
 2019    1  229  915.33  -25.23  -25.34   70.3    0.33    6.45   264.6    40.3    -3.4    -2.3     0.0     0.3     0.0 -999.000  163.6  205.4    1.888 -999.0000000 -999.0000000 -999.0  100
 2019    2  230  914.41  -21.92  -22.04   61.3    0.36    4.34   238.2    47.0    -2.5     6.4     4.4     5.0     4.0 -999.000  168.8  209.7    1.893 -999.0000000 -999.0000000 -999.0  100
 2019    3  231  910.03  -27.35  -27.35   71.1    0.27    4.46   251.3    24.9    -3.1    67.3    53.9    48.9    49.1 -999.000  165.6  200.6    1.896 -999.0000000 -999.0000000 -999.0  100
 2019    4  232  919.03  -16.44  -16.32   71.4    0.81    5.66   272.2    19.6   -11.7   165.7   155.8   137.5   129.7 -999.000  211.7  240.9    1.867 -999.0000000 -999.0000000 -999.0  100
 2019    5  233  931.65   -3.50   -3.11   75.4    2.33    5.23   256.3  -999.0  -999.0   295.4   294.9   232.7   224.5    0.763  243.6  294.9    1.831 -999.0000000 -999.0000000 -999.0  100
