 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2010    8  128 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2010    9  129 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2010   10  130 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2010   11  131 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2010   12  132 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2011    1  133 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2011    2  134 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2011    3  135  911.93 -999.00 -999.00 -999.0 -999.00    7.32    94.4  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2011    4  136  906.33 -999.00 -999.00 -999.0 -999.00    5.03    96.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2011    5  137  923.38 -999.00 -999.00 -999.0 -999.00    7.62   105.8  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2011    6  138  929.77 -999.00 -999.00 -999.0 -999.00    6.96   102.2  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2011    7  139  921.86    3.38    3.55   76.1    3.95    6.97    95.0    47.2    -4.0   292.6   293.2   169.2   168.4    0.560  277.3  319.1    2.486 -999.0000000 -999.0000000 -999.0  100
 2011    8  140  926.03    1.27    1.50   83.3    3.76    5.13    98.9    27.1    -2.6   161.3   161.9    80.6    79.8    0.509  281.9  313.5    2.646 -999.0000000 -999.0000000 -999.0  100
 2011    9  141  911.14   -6.42   -6.29   86.5    2.12    6.86   111.2    23.8    -1.2    73.0    77.7    64.1    63.6 -999.000  248.6  278.3    2.336 -999.0000000 -999.0000000 -999.0  100
 2011   10  142  913.64  -13.80  -13.47   95.0    1.31    7.12   106.1    18.5     2.3    12.0    13.2    10.9    10.7 -999.000  233.0  251.8    2.038 -999.0000000 -999.0000000 -999.0   83
 2011   11  143  909.11  -16.10  -15.65   89.0    1.06    4.59  -999.0    24.0    -0.1    -1.1     0.1     0.3     0.1 -999.000  226.0  241.1    1.819 -999.0000000 -999.0000000 -999.0  100
 2011   12  144  904.38  -22.45  -21.50   86.2    0.50    5.26    99.8    30.4     0.1    -2.1     0.0     0.5     0.0 -999.000  185.7  215.0    1.785 -999.0000000 -999.0000000 -999.0  100
 2012    1  145  907.33  -24.15  -23.22   81.5    0.40    7.09   100.4    40.2    -0.0    -1.8     0.0     0.3     0.0 -999.000  175.2  207.3    1.788 -999.0000000 -999.0000000 -999.0  100
 2012    2  146  908.21  -24.85  -24.11   86.9    0.46    6.77   104.7    26.2     0.2     5.6     5.5     4.8     4.3 -999.000  181.1  208.4    1.775 -999.0000000 -999.0000000 -999.0  100
 2012    3  147  912.53  -27.33  -26.59   85.1    0.36    6.38   100.9    31.9     0.0    63.5    55.2    44.0    43.8 -999.000  160.9  198.1    1.778 -999.0000000 -999.0000000 -999.0  100
 2012    4  148  921.19  -15.54  -14.80   73.3    0.78    5.17    97.2    32.0    -3.7   179.2   180.6   137.6   137.2 -999.000  188.8  237.2    1.796 -999.0000000 -999.0000000 -999.0  100
 2012    5  149  925.37   -7.25   -7.13   81.2    1.91    6.16   103.8    16.9   -12.1   285.4   286.4   226.2   224.7    0.788  233.9  279.0    1.783 -999.0000000 -999.0000000 -999.0  100
 2012    6  150  928.01    0.32    0.10   81.3    3.38    7.75   110.0    24.1   -18.5   309.1   311.7   239.6   239.0    0.778  273.5  311.7    1.964 -999.0000000 -999.0000000 -999.0  100
 2012    7  151  922.48    2.94    2.75   85.8    4.36    7.05   101.9    44.9    12.6   247.9   248.4   121.8   121.2    0.469  293.3  319.2    2.506 -999.0000000 -999.0000000 -999.0   87
 2012    8  152  922.38    0.34    0.24   79.5    3.39    6.05    99.6    28.2    -0.5   168.2   167.5   103.7   103.0    0.634  268.9  307.3    2.504 -999.0000000 -999.0000000 -999.0   87
 2012    9  153  914.88   -4.15   -4.52   85.7    2.55    7.93    95.5    24.7    -6.9    71.9    76.3    56.6    55.3 -999.000  260.1  289.8    2.470 -999.0000000 -999.0000000 -999.0  100
 2012   10  154  920.56   -9.40   -9.57   85.9    1.61    6.05    99.3    29.5    -2.9     8.7    12.9     9.3     9.5 -999.000  246.0  266.3    2.205 -999.0000000 -999.0000000 -999.0  100
 2012   11  155  913.46  -15.19  -15.33   92.4    1.10    6.02    98.9    20.3     0.8    -1.2     0.1     0.3     0.0 -999.000  230.3  244.8    1.785 -999.0000000 -999.0000000 -999.0  100
 2012   12  156  919.58  -19.40  -19.51   86.2    0.71    5.77    83.1    29.9    -0.4    -1.8     0.0     0.3     0.0 -999.000  201.8  228.0    1.693 -999.0000000 -999.0000000 -999.0  100
 2013    1  157  906.49  -20.81  -20.91   79.7    0.58    6.55    91.3    43.3    -1.4    -1.9     0.0     0.2     0.0 -999.000  187.9  220.7    1.694 -999.0000000 -999.0000000 -999.0   67
 2013    2  158  914.31  -23.85  -23.92   89.1    0.46    6.61    93.1    29.0     0.4     4.0     4.5     3.8     3.2 -999.000  179.6  212.1    1.741 -999.0000000 -999.0000000 -999.0   35
 2013    3  159  930.71  -17.65  -17.77   81.1    0.88    7.22    93.8    31.1    -3.1    56.2    57.9    42.1    41.4 -999.000  196.9  233.6    1.748 -999.0000000 -999.0000000 -999.0  100
 2013    4  160  920.27  -17.01  -16.97   83.6    0.84    7.00    95.2    23.0    -5.5   173.2   171.2   130.1   128.3    0.754  194.0  238.2    1.737 -999.0000000 -999.0000000 -999.0  100
 2013    5  161  922.63  -13.13  -12.89   81.2    1.12    4.13    90.2     6.0    -7.5   296.5   297.0   240.2   239.1    0.807  208.1  256.0    1.653 -999.0000000 -999.0000000 -999.0  100
 2013    6  162  918.30   -2.14   -2.41   84.2    2.95    6.23    99.5    11.1   -17.9   304.6   305.9   245.4   244.2    0.807  266.0  302.5    1.738 -999.0000000 -999.0000000 -999.0  100
 2013    7  163  919.92    0.31   -0.22   80.9    3.39    6.56    98.4    21.9   -17.7   280.4   280.7   213.5   212.3    0.766  270.5  311.0    1.941 -999.0000000 -999.0000000 -999.0  100
 2013    8  164  915.97   -1.36   -1.46   84.5    3.17    7.12    93.5    17.2   -11.3   161.3   160.1   124.5   123.3    0.787  275.5  304.0    2.135 -999.0000000 -999.0000000 -999.0  100
 2013    9  165  915.60   -6.90   -6.92   83.6    1.98    6.11    94.3    27.2    -3.9    68.5    65.0    59.7    59.5 -999.000  246.0  275.8    1.811 -999.0000000 -999.0000000 -999.0  100
 2013   10  166  918.65  -10.90  -10.96   87.8    1.56    5.00  -999.0    22.9    -0.6    11.7    11.6    10.1    10.2 -999.000  240.1  260.0    1.761 -999.0000000 -999.0000000 -999.0  100
 2013   11  167  908.39  -20.56  -20.60   90.3    0.62    6.58    94.0    23.3     0.0    -1.5     0.1     0.3     0.1 -999.000  202.2  225.0    1.722 -999.0000000 -999.0000000 -999.0  100
 2013   12  168  905.88  -22.74  -22.80   83.7    0.46    5.81    94.1    33.6     0.4    -1.9     0.0     0.4     0.0 -999.000  182.9  213.1    1.723 -999.0000000 -999.0000000 -999.0  100
 2014    1  169  908.28  -18.14  -18.19   88.2    0.89    6.18    95.6    35.1    -0.4    -1.5     0.0     0.2     0.0 -999.000  209.2  238.1    1.725 -999.0000000 -999.0000000 -999.0    9
 2014    2  170  909.19  -21.26  -21.39   72.6    0.48    5.40    83.7    49.6    -1.5     2.8     5.0     3.6     3.2 -999.000  178.0  215.1    1.724 -999.0000000 -999.0000000 -999.0   32
 2014    3  171  909.90  -22.68  -22.69   80.7    0.46    5.52    87.1    37.8    -1.0    61.3    62.4    43.2    36.8 -999.000  176.3  213.2    1.722 -999.0000000 -999.0000000 -999.0  100
 2014    4  172  917.19  -18.49  -18.44   82.8    0.70    7.15    91.0    20.8    -4.7   160.7   168.4   128.0   124.2 -999.000  193.3  232.3    1.717 -999.0000000 -999.0000000 -999.0  100
 2014    5  173  923.96  -10.45  -10.30   83.1    1.44    6.71   100.8     9.2    -9.4   276.1   275.4   223.4   221.9    0.808  227.8  266.0    1.689 -999.0000000 -999.0000000 -999.0  100
 2014    6  174  922.11   -1.48   -1.53   86.4    3.15    7.15    98.6    13.9   -17.7   294.0   293.2   236.4   235.2    0.812  276.4  306.2    1.592 -999.0000000 -999.0000000 -999.0  100
 2014    7  175  922.59    1.72    1.81   86.8    4.04    6.56    93.3    23.3    -3.0   241.3   241.3   154.2   153.8    0.616  289.3  317.7    2.064 -999.0000000 -999.0000000 -999.0  100
 2014    8  176  920.85   -0.69   -0.65   86.5    3.38    9.27   100.1    24.9   -15.4   127.9   128.3   103.1   102.5    0.796  289.1  307.3    2.231 -999.0000000 -999.0000000 -999.0  100
 2014    9  177  912.09   -6.10   -6.07   84.9    2.15    5.67    87.8    27.1    -3.7    77.6    79.4    64.7    64.9 -999.000  244.5  279.7    1.978 -999.0000000 -999.0000000 -999.0  100
 2014   10  178  920.31  -11.78  -11.81   86.6    1.35    4.93    83.1    30.1    -2.3    14.1    14.0    11.2    11.3 -999.000  231.1  254.8    1.925 -999.0000000 -999.0000000 -999.0  100
 2014   11  179  909.14  -16.02  -16.08   87.4    0.96    5.95    94.4    24.6    -0.3    -1.6     0.1     0.4     0.1 -999.000  218.3  240.0    1.834 -999.0000000 -999.0000000 -999.0  100
 2014   12  180  908.42  -22.79  -22.84   87.4    0.49    7.12    88.6    27.0    -0.4    -1.9     0.0     0.4     0.0 -999.000  186.2  216.5    1.787 -999.0000000 -999.0000000 -999.0   51
 2015    1  181  904.39  -24.51  -24.58   89.8    0.47    7.79    88.1    28.3     0.4    -1.8     0.0     0.3     0.0 -999.000  179.5  210.5    1.782 -999.0000000 -999.0000000 -999.0 -999
 2015    2  182  907.45  -30.17  -30.23   84.9    0.22    6.08    80.1    36.6     0.2     4.2     4.9     4.3     3.8 -999.000  154.7  188.5    1.800 -999.0000000 -999.0000000 -999.0   50
 2015    3  183  904.19  -21.18  -21.19   77.6    0.52    7.18    87.3    45.9    -1.6    57.0    54.9    42.8    42.5 -999.000  175.1  217.1    1.801 -999.0000000 -999.0000000 -999.0  100
 2015    4  184  916.81  -20.87  -20.80   75.8    0.50    6.64    86.4    25.5    -4.8   177.4   174.9   133.7   132.1    0.759  174.8  221.9    1.793 -999.0000000 -999.0000000 -999.0  100
