 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2009    8  116 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2009    9  117  975.77   -1.91   -2.71   69.2    2.38    5.23   102.2    35.9   -21.1    88.8    86.9    58.6    57.4 -999.000  254.7  295.2    2.616   72.8932149   54.2950901  226.0  100
 2009   10  118  984.67   -8.41   -9.37   70.4    1.40    5.83    98.2    42.9   -11.2    22.9    23.1    16.4    16.1 -999.000  229.6  266.0    2.612   72.8932180   54.2950914  225.3  100
 2009   11  119  979.90  -14.52  -15.57   73.0    0.84    4.77    90.5    39.9    -2.9     0.1     1.0     1.2     0.7 -999.000  205.1  239.8    2.589 -999.0000000 -999.0000000 -999.0  100
 2009   12  120  986.88   -9.13  -10.11   69.7    1.38    6.50   100.3    66.0   -17.4    -0.8     0.0     0.4     0.0 -999.000  229.7  260.6    2.615 -999.0000000 -999.0000000 -999.0  100
 2010    1  121  980.79  -16.53  -17.54   87.2    1.02    2.80    99.6    20.3    -0.4    -0.8     0.1     0.3     0.1 -999.000  234.1  237.9    2.483 -999.0000000 -999.0000000 -999.0  100
 2010    2  122  989.70  -10.95  -11.96   72.8    1.22    4.47   104.4    37.5    -9.1    10.2    10.8     9.5     8.4 -999.000  224.0  252.0    2.607 -999.0000000 -999.0000000 -999.0  100
 2010    3  123  984.56  -15.33  -16.19   78.1    0.84    2.55    98.6    19.4    -1.6    81.9    80.0    65.2    63.3 -999.000  198.1  235.5    2.627 -999.0000000 -999.0000000 -999.0  100
 2010    4  124  989.18  -10.37  -10.99   74.3    1.24    3.14   101.8    18.5    -5.8   187.4   183.9   148.9   147.9    0.804  213.6  256.4    2.612   72.8932144   54.2951259  227.2  100
 2010    5  125  990.49   -0.53   -0.90   73.9    2.77    2.41    92.4    18.0    -4.9   269.8   269.8   199.5   199.4    0.744  266.8  301.9    2.613   72.8932084   54.2951389  227.8  100
 2010    6  126  984.60    4.23    3.86   78.1    4.05    2.38    89.5    22.6     0.5   281.4   284.1   170.1   169.3    0.600  294.6  318.6    2.423   72.8932076   54.2951373  226.6  100
 2010    7  127  982.63    5.07    4.70   73.8    4.08    2.79    88.6    29.5     0.9   277.9   286.7   164.4   164.3    0.574  285.8  319.3    2.407   72.8932045   54.2951375  226.5  100
 2010    8  128  985.34    5.12    4.53   76.1    4.20    3.21    95.3    37.3     4.0   161.6   159.3    91.4    90.5    0.576  305.2  319.1    2.460   72.8932001   54.2951392  225.3  100
 2010    9  129  981.93    0.58   -0.13   78.8    3.18    2.49   102.8    18.3    -5.0    81.8    79.4    60.1    59.8 -999.000  274.1  306.4    2.360   72.8931987   54.2951354  223.8  100
 2010   10  130  981.82   -3.97   -4.87   71.6    2.10    3.78   108.1    28.3    -7.2    19.6    21.7    17.4    16.8 -999.000  251.1  283.7    2.503   72.8931992   54.2951390  223.6  100
 2010   11  131  983.31   -4.45   -5.39   69.5    2.00    5.50   107.1    50.7   -11.1     0.2     0.8     1.0     0.6 -999.000  252.0  280.4    2.548 -999.0000000 -999.0000000 -999.0  100
 2010   12  132  990.37   -7.77   -8.74   74.1    1.57    6.61   110.0    49.5    -9.9    -0.7     0.0     0.5     0.0 -999.000  235.2  268.4    2.452 -999.0000000 -999.0000000 -999.0  100
 2011    1  133  982.40  -10.60  -11.57   70.9    1.24    6.37   104.4    46.5   -10.2    -0.5     0.2     0.5     0.1 -999.000  224.4  258.4    2.545   72.8931887   54.2952187  221.7  100
 2011    2  134  967.32  -16.44  -17.44   79.5    0.91    4.30   106.0    36.7    -3.2     9.1    11.4     9.4     8.0 -999.000  204.3  234.1    2.570 -999.0000000 -999.0000000 -999.0  100
 2011    3  135  981.32  -19.44  -20.31   75.3    0.58    4.36   107.6    29.6    -2.3    73.4    78.1    58.3    55.3 -999.000  181.5  224.2    2.533 -999.0000000 -999.0000000 -999.0  100
